"Chat Plugin";"Chat Plugin"
"Chat";"Chat"
"The chat room has been disabled by the site admin.";"The chat room has been disabled by the site admin."
"Browse Chatrooms";"Browse Chatrooms"
"You are sending messages too quickly - please wait a few seconds and try again.";"You are sending messages too quickly - please wait a few seconds and try again."
"%1$s has joined the room.";"%1$s has joined the room."
"%1$s has left the room.";"%1$s has left the room."
"None of your friends are online.";"None of your friends are online."
"Friends Online";"Friends Online"

"Manage Chat Rooms";"Manage Chat Rooms"
"Create Chat Room";"Create Chat Room"
"Create Room";"Create Room"
"Changes saved.";"Changes saved."
"Chat room page description.";"Chat room page description."
"Users In Room";"Users In Room"
"%d chat room";"%d chat room";"%d chat rooms"

"IM Privacy";"IM Privacy"
"Can users IM only their friends or everyone?";"Can users IM only their friends or everyone?"
"CHAT_FORM_ADMIN_SETTINGS_GLOBAL_GENERALDELAY_DESCRIPTION";"The chatroom application connects to your server (using AJAX) every few seconds to get new data. How often do you want this process to occur? A shorter amount of time will make the chat slightly faster but will also consume more server resources. If your server is experiencing slowdown issues, try increasing this value from the default (5,000 milliseconds). Please enter a number between 1,000 and 100,000 (milliseconds)."
"Enable IM?";"Enable IM?"
"Do you want to let users have private conversations (IM)?";"Do you want to let users have private conversations (IM)?"
"No, do not enable IM.";"No, do not enable IM."
"Yes, enable IM.";"Yes, enable IM."
"Enable chat?";"Enable chat?"
"Do you want to let users chat in the chat room?";"Do you want to let users chat in the chat room?"
"No, do not enable chat.";"No, do not enable chat."
"Yes, enable chat.";"Yes, enable chat."
"No, do not enable IM.";"No, do not enable IM."
"Yes, enable IM.";"Yes, enable IM."
"No, do not enable chat.";"No, do not enable chat."
"Yes, enable chat.";"Yes, enable chat."
"CHAT_FORM_ADMIN_SETTINGS_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"Changes have been saved.";"Changes have been saved."

"Open Chat";"Open Chat"
"Go Offline";"Go Offline"
"General Chat";"General Chat"
"Introduce Yourself";"Introduce Yourself"
"%1$s person";"%1$s person";"%1$s people"
