# Flash Uploader
"File Upload";"File Upload"
"To enable the embedded uploader, unblock it in your browser and refresh (see Adblock).";"To enable the embedded uploader, unblock it in your browser and refresh (see Adblock)."
"To enable the embedded uploader, enable the blocked Flash movie (see Flashblock).";"To enable the embedded uploader, enable the blocked Flash movie (see Flashblock)."
"A required file was not found, please be patient and we will fix this.";"A required file was not found, please be patient and we will fix this."
"To enable the embedded uploader, install the latest Adobe Flash plugin.";"To enable the embedded uploader, install the latest Adobe Flash plugin."
"Clear List";"Clear List"

"Click ""Browse..."" to select the file you would like to upload.";"Click ""Browse..."" to select the file you would like to upload."
"Upload a Photo:";"Upload a Photo:"
"Add Photos";"Add Photos"
"_STORAGE_UPLOAD_DESCRIPTION";"Click ""Add Photos"" to select one or more photos from your computer. After you have selected the photos, they will begin to upload right away. When your upload is finished, click the button below your photo list to save them to your album."

"ITEM_TYPE_STORAGE_FILE";"Files"

