"User";"User"

"Post";"Post"

"If you already have an account, please enter your details below. If you don't have one yet, please <a href='%s'>sign up</a> first.";"If you already have an account, please enter your details below. If you don't have one yet, please <a href='%s'>sign up</a> first."
"<span><a href='%s'>Forgot Password?</a></span>";"<span><a href='%s'>Forgot Password?</a></span>"

"Block Member";"Block Member"
"Do you want to block this member?";"Do you want to block this member?"
"Cancel";"Cancel"

"Unblock Member";"Unblock Member"
"Do you want to unblock this member?";"Do you want to unblock this member?"

"Make Profile Photo";"Make Profile Photo"
"Do you want to make this photo your profile photo?";"Do you want to make this photo your profile photo?"
"Save";"Save"

"Edit Member Profile";"Edit Member Profile"
"%1$s's Profile";"%1$s's Profile"
"Current Photo";"Current Photo"
"Choose New Photo";"Choose New Photo"
"Save Photo";"Save Photo"
"Profile Photos";"Profile Photos"

"Profile Style";"Profile Style"
"Add your own CSS code above to give your profile a more personalized look.";"Add your own CSS code above to give your profile a more personalized look."
"Save Styles";"Save Styles"

"Add Friend";"Add Friend"
"Would you like to add this member as a friend?";"Would you like to add this member as a friend?"

"Cancel Friend Request";"Cancel Friend Request"
"Do you want to cancel your friend request?";"Do you want to cancel your friend request?"
"Cancel Request";"Cancel Request"

"Confirm Friend";"Confirm Friend"
"Would you like to confirm this member as a friend?";"Would you like to confirm this member as a friend?"

"Reject Friend";"Reject Friend"
"Would you like to reject this member as a friend?";"Would you like to reject this member as a friend?"

"Remove Friend";"Remove Friend"
"Are you sure you want to remove this member as a friend?";"Are you sure you want to remove this member as a friend?"

"Delete Account";"Delete Account"
"Are you sure you want to delete your account? Any content you've uploaded in the past will be permanently deleted. You will be immediately signed out and will no longer be able to sign in with this account.";"Are you sure you want to delete your account? Any content you've uploaded in the past will be permanently deleted. You will be immediately signed out and will no longer be able to sign in with this account."
"Yes, Delete My Account";"Yes, Delete My Account"
"This is the last super admin account. Please reconsider before deleting this account.";"This is the last super admin account. Please reconsider before deleting this account."

"My Settings";"My Settings"
"General";"General"
"Notifications";"Notifications"
"General Settings";"General Settings"
"Notification Settings";"Notification Settings"
"Email Address";"Email Address"
"Please enter a valid email address.";"Please enter a valid email address."
"Someone has already registered this email address, please use another one.";"Someone has already registered this email address, please use another one."
"Profile Address";"Profile Address"
"Please enter a valid profile address.";"Please enter a valid profile address."
"Someone has already picked this profile address, please use another one.";"Someone has already picked this profile address, please use another one."
"Profile addresses must start with a letter.";"Profile addresses must start with a letter."
"Profile addresses must be alphanumeric.";"Profile addresses must be alphanumeric."

"Account Type";"Account Type"
"Timezone";"Timezone"
"Select the city closest to you that shares your same timezone."
"Locale";"Locale"
"Dates, times, and other settings will be displayed using this locale setting.";"Dates, times, and other settings will be displayed using this locale setting."
"Email Alerts";"Email Alerts"
"Which of the these do you want to receive email alerts about?";"Which of the these do you want to receive email alerts about?"

"Join Network";"Join Network"
"Change Password";"Change Password"
"Old Password";"Old Password"
"New Password";"New Password"
"Passwords must be at least 6 characters in length.";"Passwords must be at least 6 characters in length."
"New Password (again)";"New Password (again)"
"Enter your password again for confirmation.";"Enter your password again for confirmation."
"Change Password";"Change Password"

"Privacy Settings";"Privacy Settings"
"Blocked Members";"Blocked Members"
"Adding a person to your block list makes your profile (and all of your other content) unviewable to them. Any connections you have to the blocked person will be canceled. To add someone to your block list, visit that person's profile page.";"Adding a person to your block list makes your profile (and all of your other content) unviewable to them. Any connections you have to the blocked person will be canceled. To add someone to your block list, visit that person's profile page."
"Do not display me in searches, browsing members, or the ""Online Members"" list.";"Do not display me in searches, browsing members, or the ""Online Members"" list."

"Profile Privacy";"Profile Privacy"
"Who can view your profile?";"Who can view your profile?"
"Profile Posting Privacy";"Profile Posting Privacy"
"Who can post on your profile?";"Who can post on your profile?"
"Only Me";"Only Me"
"Only My Friends";"Only My Friends"
"Only My Networks";"Only My Networks"
"All Members";"All Members"

"Recent Activity Privacy";"Recent Activity Privacy"
"Which of the following things do you want to have published about you in the recent activity feed? Note that changing this setting will only affect future news feed items.";"Which of the following things do you want to have published about you in the recent activity feed? Note that changing this setting will only affect future news feed items."

"Create Account";"Create Account"
"You will use your email address to login.";"You will use your email address to login."
"Password";"Password"
"Please enter a valid password.";"Please enter a valid password."
"Password Again";"Password Again"
"Please make sure the ""password"" and ""password again"" fields match.";"Please make sure the ""password"" and ""password again"" fields match."
"Password did not match";"Password did not match"

"Language";"Language"

"Continue";"Continue"

"Current Photo";"Current Photo"
"Choose New Photo";"Choose New Photo"

"Member Sign In";"Member Sign In"
"Remember Me";"Remember Me"

"Human Verification";"Human Verification"
"Please validate that you are not a robot by typing in the letters and numbers in this image:";"Please validate that you are not a robot by typing in the letters and numbers in this image:"

"Login";"Login"
"Edit My Profile";"Edit My Profile"
"Personal Info";"Personal Info"
"Edit My Photo";"Edit My Photo"

"clear";"clear"

"add to list";"add to list"
"Choose Friend List";"Choose Friend List"
"New list...";"New list..."

"%1$s has sent you a friend request.";"%1$s has sent you a friend request."
"or";"or"
"ignore request";"ignore request"

"Browse Members";"Browse Members"
"%s member found.";"%s member found.";"%s members found."

"Loading...";"Loading..."
"View More";"View More"
"Post something...";"Post something..."
"Post Something...";"Post Something..."
"Missing heading";"Missing heading"

"Member Info";"Member Info"
"Member Type:";"Member Type:"

"This profile is private - only friends of this member may view it.";"This profile is private - only friends of this member may view it."
"Settings were successfully saved.";"Settings were successfully saved."

"My Networks";"My Networks"
"You belong to %s network.";"You belong to %s network.";"You belong to %s networks."
"%s member.";"%s member.";"%s members."

"Leave Network";"Leave Network"
"To add a new network, begin typing its name below.";"To add a new network, begin typing its name below."

"We now";"We now"
"yourname";"yourname"
"Signup complete!";"Signup complete!"
"Yes, Delete My Account";"Yes, Delete My Account"
"skip";"skip"

"Edit Thumbnail";"Edit Thumbnail"
"Apply Changes";"Apply Changes"

"Hi %1$s!";"Hi %1$s!"

"Missing heading";"Missing heading"
"Lists:";"Lists"

"Mutual Friends";"Mutual Friends"
"Member Type:";"Member Type:"
"Profile Views:";"Profile Views:"
"Friends:";"Friends:"
"Last Update:";"Last Update:"
"Joined:";"Joined:"

"%s view";"%s view";"%s views"
"%s friend";"%s friend";"%s friends"

"You are already signed in.";"You are already signed in."
"No record of a member with that email was found.";"No record of a member with that email was found."
"Invalid credentials";"Invalid credentials"
"Invalid credentials supplied";"Invalid credentials supplied"
"You are already logged out.";"You are already logged out."
"Another member has already associated with that facebook account";"Another member has already associated with that facebook account"
"Login successful";"Login successful"
"You are now logged out.";"You are now logged out."

"No member specified";"No member specified"
"No action taken";"No action taken"
"Invalid data";"Invalid data"
"An error has occurred.";"An error has occurred."
"Member unblocked";"Member unblocked"
"Member blocked";"Member blocked"
"The uploaded file is not supported or is corrupt.";"The uploaded file is not supported or is corrupt."
"Set as profile photo";"Set as profile photo"
"Your changes have been saved.";"Your changes have been saved."

"Missing list/not authorized";"Missing list/not authorized"
"Already in list";"Already in list"
"Member added to list.";"Member added to list."
"Already not in list";"Already not in list"
"Member removed from list.";"Member removed from list."
"List deleted";"List deleted"
"You cannot befriend yourself.";"You cannot befriend yourself."
"You are already friends with this member.";"You are already friends with this member."
"Friendship request was not sent because you blocked this member.";"Friendship request was not sent because you blocked this member."

"No action taken";"No action taken"
"Your friend request has been sent.";"Your friend request has been sent."
"Your friend request has been cancelled.";"Your friend request has been cancelled."

"You are now friends with %1$s";"You are now friends with %1$s"
"You ignored a friend request from %1$s";"You ignored a friend request from %1$s"
"This person has been removed from your friends.";"This person has been removed from your friends."

"Settings saved.";"Settings saved."
"Settings were successfully saved.";"Settings were successfully saved."
"Passwords did not match";"Passwords did not match"
"Old password did not match";"Old password did not match"
"Network not found";"Network not found"

"Invalid param count";"Invalid param count"
"Invalid param value";"Invalid param value"

"USER_ADMIN_SIGNUP_STEP_1";"Create Account"
"USER_ADMIN_SIGNUP_STEP_2";"Create Profile"
"USER_ADMIN_SIGNUP_STEP_3";"Add Your Photo"
"USER_ADMIN_SIGNUP_STEP_4";"Invite Your Friends"
"USER_ADMIN_SETTINGS_FACEBOOK_DESCRIPTION";"You can now integrate SocialEngine to Facebook.  To do so, create an Application through the <a href=""http://www.facebook.com/developers/#!/developers/apps.php"" target=""_blank"">Facebook Developers</a> page."

"Please make sure the ""password"" and ""password again"" fields match.";"Please make sure the ""password"" and ""password again"" fields match."

"I have read and agree to the <a target=""_blank"" href=""%s/help/terms"">terms of service</a>.";"I have read and agree to the <a target=""_blank"" href=""%s/help/terms"">terms of service</a>."
"Terms of Service";"Terms of Service"
"You must agree to the terms of service to continue.";"You must agree to the terms of service to continue."
"This will be the end of your profile link, for example: <br /> <span id=""profile_address"">http://%s</span>";"This will be the end of your profile link, for example: <br /> <span id=""profile_address"">http://%s</span>"

"You are now friends with %s";"You are now friends with %s"
"You ignored %s's request to follow you";"You ignored %s's request to follow you"
"You ignored a friend request from %s";"You ignored a friend request from %s"
"You are now following this member.";"You are now following this member."
"You are now friends with this member.";"You are now friends with this member."

"Delete User";"Delete User"
"Are you sure you want to delete this user?";"Are you sure you want to delete this user?"
"Remove User";"Remove User"

"Edit Member";"Edit Member"
"You can change the details of this member's account here.";"You can change the details of this member's account here."

"Enabled?";"Enabled?"
"Verified?";"Verified?"
"Approved";"Approved"
"Not Approved";"Not Approved"
"Search";"Search"

"Friendship Settings";"Friendship Settings"
"USER_FORM_ADMIN_SETTINGS_FRIENDS_DESCRIPTION";"Facilitating relationships between members is essential to building a successful social network. There are several different types of connections that can exist between members. Use this page to determine how members will associate with each other. Note that although we refer to these relationships as "friendships" in this control panel, you should use a word that best fits with your social network's theme. For example, if you are running a business-oriented social network, you may want to change this word to ""connections."""

